date,rides,prcp,snow,snwd,tmin,tmid,tmax,holiday
2017-01-01,16009,0.0,0.0,0.0,40,44.0,48,True
2017-01-02,8921,0.21,0.0,0.0,37,39.0,41,True
2017-01-03,14198,0.58,0.0,0.0,39,41.0,43,False
2017-01-04,34039,0.0,0.0,0.0,34,43.0,52,False
2017-01-05,28393,0.0,0.0,0.0,27,30.5,34,False
2017-01-06,24177,0.05,1.2,1.2,25,29.0,33,False
2017-01-07,4425,0.32,5.1,0.0,20,23.0,26,False
2017-01-08,6417,0.0,0.0,3.9,16,20.5,25,False
2017-01-09,15856,0.0,0.0,3.1,14,18.5,23,False
2017-01-10,23232,0.0,0.0,3.1,21,33.5,46,False
2017-01-11,32419,0.52,0.0,0.0,42,47.0,52,False
2017-01-12,39783,0.05,0.0,0.0,47,56.5,66,False
2017-01-13,33611,0.0,0.0,0.0,32,47.0,62,False
2017-01-14,13819,0.12,0.6,0.0,28,31.0,34,False
2017-01-15,17384,0.0,0.0,1.2,30,34.0,38,False
2017-01-16,24110,0.0,0.0,0.0,30,36.5,43,True
2017-01-17,18646,0.35,0.0,0.0,38,40.0,42,False
2017-01-18,30857,0.06,0.0,0.0,38,39.5,41,False
2017-01-19,36561,0.0,0.0,0.0,39,44.0,49,False
2017-01-20,26752,0.1,0.0,0.0,40,42.5,45,False
2017-01-21,26610,0.0,0.0,0.0,41,45.0,49,False
2017-01-22,20523,0.05,0.0,0.0,43,45.5,48,False
2017-01-23,15822,1.16,0.0,0.0,36,40.0,44,False
2017-01-24,13171,1.18,0.0,0.0,35,36.5,38,False
2017-01-25,36931,0.0,0.0,0.0,36,43.5,51,False
2017-01-26,33002,0.02,0.0,0.0,43,49.5,56,False
2017-01-27,32394,0.0,0.0,0.0,36,39.5,43,False
2017-01-28,21302,0.0,0.0,0.0,34,36.5,39,False
2017-01-29,22527,0.0,0.0,0.0,35,39.0,43,False
2017-01-30,29616,0.0,0.0,0.0,30,33.5,37,False
2017-01-31,25169,0.06,1.0,0.0,26,30.0,34,False
2017-02-01,35221,0.0,0.0,0.0,33,40.0,47,False
2017-02-02,34517,0.0,0.0,0.0,32,38.5,45,False
2017-02-03,29632,0.0,0.0,0.0,26,29.5,33,False
2017-02-04,19204,0.0,0.0,0.0,22,28.0,34,False
2017-02-05,20059,0.0,0.0,0.0,31,37.0,43,False
2017-02-06,33415,0.0,0.0,0.0,36,42.5,49,False
2017-02-07,23053,0.27,0.0,0.0,36,39.0,42,False
2017-02-08,40428,0.03,0.0,0.0,38,50.0,62,False
2017-02-10,1997,0.0,0.0,7.9,19,25.5,32,False
2017-02-11,8959,0.0,0.0,5.1,30,39.0,48,False
2017-02-12,5801,0.46,0.0,2.0,30,35.0,40,False
2017-02-13,23857,0.02,0.0,2.0,31,35.0,39,False
2017-02-14,29668,0.0,0.0,2.0,28,34.5,41,False
2017-02-15,32052,0.0,0.0,0.0,35,41.0,47,False
2017-02-16,29120,0.0,0.0,0.0,28,31.5,35,False
2017-02-17,28735,0.0,0.0,0.0,26,33.5,41,False
2017-02-18,30571,0.0,0.0,0.0,35,49.0,63,False
2017-02-19,36963,0.0,0.0,0.0,53,59.0,65,False
2017-02-20,32292,0.0,0.0,0.0,39,47.0,55,True
2017-02-21,32643,0.0,0.0,0.0,34,40.5,47,False
2017-02-22,38119,0.0,0.0,0.0,42,49.5,57,False
2017-02-23,42434,0.0,0.0,0.0,44,54.5,65,False
2017-02-24,47031,0.0,0.0,0.0,58,64.0,70,False
2017-02-25,33343,0.54,0.0,0.0,44,53.5,63,False
2017-02-26,24714,0.0,0.0,0.0,36,40.0,44,False
2017-02-27,35984,0.0,0.0,0.0,35,44.5,54,False
2017-02-28,41835,0.0,0.0,0.0,47,53.0,59,False
2017-03-01,40592,0.12,0.0,0.0,54,62.0,70,False
2017-03-02,35739,0.0,0.0,0.0,35,49.5,64,False
2017-03-03,31105,0.0,0.0,0.0,24,31.5,39,False
2017-03-04,15646,0.0,0.0,0.0,17,23.5,30,False
2017-03-05,15919,0.0,0.0,0.0,14,25.5,37,False
2017-03-06,32467,0.0,0.0,0.0,26,35.5,45,False
2017-03-07,29683,0.1,0.0,0.0,42,49.0,56,False
2017-03-08,43469,0.02,0.0,0.0,47,53.0,59,False
2017-03-09,45252,0.0,0.0,0.0,47,54.0,61,False
2017-03-10,18412,0.31,2.1,0.0,23,35.0,47,False
2017-03-11,15185,0.0,0.0,1.2,17,23.0,29,False
2017-03-12,13442,0.0,0.0,0.0,19,24.0,29,False
2017-03-13,27417,0.0,0.0,0.0,20,28.0,36,False
2017-03-17,7098,0.0,0.0,3.9,29,38.0,47,False
2017-03-18,4106,0.08,0.0,3.1,34,36.5,39,False
