date,days_since_jan0117,month,day_of_week,holiday,prcp,snow,snwd,tmax,rides
2017-01-01,0,Jan,Sun,TRUE,0,0,0,48,16009
2017-01-02,1,Jan,Mon,TRUE,0.21,0,0,41,8921
2017-01-04,3,Jan,Wed,FALSE,0,0,0,52,34039
2017-01-05,4,Jan,Thu,FALSE,0,0,0,34,28393
2017-01-06,5,Jan,Fri,FALSE,0.05,1.2,1.2,33,24177
2017-01-07,6,Jan,Sat,FALSE,0.32,5.1,0,26,4425
2017-01-08,7,Jan,Sun,FALSE,0,0,3.9,25,6417
2017-01-09,8,Jan,Mon,FALSE,0,0,3.1,23,15856
2017-01-10,9,Jan,Tue,FALSE,0,0,3.1,46,23232
2017-01-11,10,Jan,Wed,FALSE,0.52,0,0,52,32419
2017-01-12,11,Jan,Thu,FALSE,0.05,0,0,66,39783
2017-01-13,12,Jan,Fri,FALSE,0,0,0,62,33611
2017-01-14,13,Jan,Sat,FALSE,0.12,0.6,0,34,13819
2017-01-15,14,Jan,Sun,FALSE,0,0,1.2,38,17384
2017-01-16,15,Jan,Mon,TRUE,0,0,0,43,24110
2017-01-17,16,Jan,Tue,FALSE,0.35,0,0,42,18646
2017-01-18,17,Jan,Wed,FALSE,0.06,0,0,41,30857
2017-01-19,18,Jan,Thu,FALSE,0,0,0,49,36561
2017-01-20,19,Jan,Fri,FALSE,0.1,0,0,45,26752
2017-01-21,20,Jan,Sat,FALSE,0,0,0,49,26610
2017-01-23,22,Jan,Mon,FALSE,1.16,0,0,44,15822
2017-01-24,23,Jan,Tue,FALSE,1.18,0,0,38,13171
2017-01-25,24,Jan,Wed,FALSE,0,0,0,51,36931
2017-01-26,25,Jan,Thu,FALSE,0.02,0,0,56,33002
2017-01-27,26,Jan,Fri,FALSE,0,0,0,43,32394
2017-01-28,27,Jan,Sat,FALSE,0,0,0,39,21302
2017-01-29,28,Jan,Sun,FALSE,0,0,0,43,22527
2017-01-30,29,Jan,Mon,FALSE,0,0,0,37,29616
2017-01-31,30,Jan,Tue,FALSE,0.06,1,0,34,25169
2017-02-01,31,Feb,Wed,FALSE,0,0,0,47,35221
2017-02-02,32,Feb,Thu,FALSE,0,0,0,45,34517
2017-02-03,33,Feb,Fri,FALSE,0,0,0,33,29632
2017-02-04,34,Feb,Sat,FALSE,0,0,0,34,19204
2017-02-05,35,Feb,Sun,FALSE,0,0,0,43,20059
2017-02-06,36,Feb,Mon,FALSE,0,0,0,49,33415
2017-02-07,37,Feb,Tue,FALSE,0.27,0,0,42,23053
2017-02-08,38,Feb,Wed,FALSE,0.03,0,0,62,40428
2017-02-10,40,Feb,Fri,FALSE,0,0,7.9,32,1997
2017-02-11,41,Feb,Sat,FALSE,0,0,5.1,48,8959
2017-02-13,43,Feb,Mon,FALSE,0.02,0,2,39,23857
2017-02-14,44,Feb,Tue,FALSE,0,0,2,41,29668
2017-02-15,45,Feb,Wed,FALSE,0,0,0,47,32052
2017-02-16,46,Feb,Thu,FALSE,0,0,0,35,29120
2017-02-17,47,Feb,Fri,FALSE,0,0,0,41,28735
2017-02-18,48,Feb,Sat,FALSE,0,0,0,63,30571
2017-02-19,49,Feb,Sun,FALSE,0,0,0,65,36963
2017-02-21,51,Feb,Tue,FALSE,0,0,0,47,32643
2017-02-22,52,Feb,Wed,FALSE,0,0,0,57,38119
2017-02-23,53,Feb,Thu,FALSE,0,0,0,65,42434
2017-02-25,55,Feb,Sat,FALSE,0.54,0,0,63,33343
2017-02-26,56,Feb,Sun,FALSE,0,0,0,44,24714
2017-02-27,57,Feb,Mon,FALSE,0,0,0,54,35984
2017-03-01,59,Mar,Wed,FALSE,0.12,0,0,70,40592
2017-03-02,60,Mar,Thu,FALSE,0,0,0,64,35739
2017-03-03,61,Mar,Fri,FALSE,0,0,0,39,31105
2017-03-04,62,Mar,Sat,FALSE,0,0,0,30,15646
2017-03-06,64,Mar,Mon,FALSE,0,0,0,45,32467
2017-03-07,65,Mar,Tue,FALSE,0.1,0,0,56,29683
2017-03-08,66,Mar,Wed,FALSE,0.02,0,0,59,43469
2017-03-09,67,Mar,Thu,FALSE,0,0,0,61,45252
2017-03-11,69,Mar,Sat,FALSE,0,0,1.2,29,15185
